X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.0090495196044,38.9567063360243,1809,{548CDCA8-52F9-451D-A191-D096DC1D8FD3},1809,Red light running,2015/07/09 11:41:58+00,Unassigned,8008,Typically in the mornings cars going southbound from New Hampshire to North Capital routinely run this red light and create serious backups.  This impacts northbound and southbound traffic on North Capital.,Car Driver
-77.0120662608658,38.9648096017258,1810,{D036D262-C57C-46DB-B552-B70E57D0DC86},1810,Other Driving Issue,2015/07/09 11:44:28+00,Unassigned,4888,The road in this section of Blair Road is in seriously bad shape.  Instead of patching entire sections need to be resurfaced.,Car Driver
-76.9961726798088,38.8923811381881,1825,{559F484E-DD7B-4540-B126-469B121FB83C},1825,Poor visibility,2015/07/09 12:50:14+00,Unassigned,6472,"Pedestrians trying to cross Massachusetts have no pedestrian signal, and cannot see the traffic signal drivers have on Massachusetts",Pedestrian
-76.9961712307839,38.8925546520043,1826,{91C730EB-235B-4734-9E4D-19455CFE46BC},1826,Poor visibility,2015/07/09 12:52:15+00,Unassigned,6472,Pedestrians trying to cross Massachusetts have no pedestrian signal and cannot see the traffic signal drivers have,Pedestrian
-77.0046894765659,38.9557677211459,1827,{DCE0C9EE-5890-4580-B7B3-D5E7A4E4D072},1827,Red light running,2015/07/09 13:13:57+00,Unassigned,7700,Drivers frequently run the red lights in all directions at this intersection creating an unsafe environment for crossing the street in all directions.,Pedestrian
-77.0062715455601,38.9576635974466,1828,{CFC50508-5036-40F1-83C8-0BD2774874D1},1828,Stop sign running,2015/07/09 13:14:38+00,Unassigned,3565,"Drivers never yield to the stop sign in all directions, particularly during morning and evening rush hours.",Pedestrian
-77.0070108730825,38.9596420100668,1829,{F1028C3E-FA48-4228-8274-9504FE9B8785},1829,Other Driving Issue,2015/07/09 13:17:23+00,Unassigned,6055,"Drivers frequently make left turns onto First St NE during the morning commute violating the signs informing them not to, creating a large number of commuter traffic in the neighborhood, running through stop signs to save time.",Car Driver
-77.0062758344735,38.9565811002949,1830,{F6E5715A-3372-4CDF-877E-44384E5843D1},1830,Stop sign running,2015/07/09 13:18:29+00,Unassigned,12538,"Drivers run this stop sign, in a lot of cases, without even slowing down not yielding to pedestrians and almost striking them in some cases.  Raised crosswalks or some other deterrent is needed!",Pedestrian
-77.008889037486,38.9570420719294,1831,{D5421EBA-9936-454B-9E01-3C0A94926610},1831,Red light running,2015/07/09 13:19:53+00,Unassigned,3005,"Cars frequently run the red light allowing pedestrians to cross, regardless of the signage saying no turn on red, creating an unsafe environment for crossing New Hamp Ave",Pedestrian
-77.016872301554,38.9299644814615,1832,{95D37C72-8F34-46AE-966B-185CC65578FE},1832,Failure to stop for pedestrians,2015/07/09 15:01:11+00,Unassigned,1795,"Extremely dangerous crossing as the crosswalk is directly under a traffic light leading drivers to assume there is a ped signal/phase. There is no such phase, requiring peds crossing Irving to/from hospital here to run to avoid being hit.",Pedestrian
-77.0160175732802,38.9308487853961,1833,{09A5C184-0CC3-429F-AA53-C3E3C79F5747},1833,Failure to stop for pedestrians,2015/07/09 15:03:20+00,Unassigned,1795,Extremely dangerous crossing in area with frequent speeding requiring peds crossing Irving to/from hospital here to run to avoid being hit.,Pedestrian
-77.0175950398671,38.9282852011408,1834,{74FF9B1D-1629-4296-93FC-3FD9E5625A8F},1834,Failure to stop for pedestrians,2015/07/09 15:09:52+00,Unassigned,6442,Disconnected ped route. A crosswalk is missing here. Sidewalk on the Michigan Ave bridge ends at the NB Irving ramp with no protection for crossing to/from hospital.,Pedestrian
-77.0179774346926,38.9279716689255,1835,{E3FE5ECE-5334-4C2A-911A-9ECAF0BBD5FC},1835,Other Driving Issue,2015/07/09 15:12:59+00,Unassigned,14194,"Roadway network appears incomplete here. Missing: WB Michigan Ave ramp to NB Irving St; EB Michigan Ave ramp to NB Irving St; SB Park Ave ramp to EB Michigan Ave.",Pedestrian
-77.043403099145,38.9280150869089,1836,{B2D11873-CAB4-403A-9204-E07F5B5185E5},1836,Long wait to cross,2015/07/09 15:15:15+00,Unassigned,8893,"I love the new layout of this area after it was reconstructed, but peds have to wait a long time to get a walk, especially on south end of intersection from Zoo to Harvard St. Peds should get walk when traffic from Rock Creek Parkway has red.",Pedestrian
-77.0474956124905,38.9326272433887,1837,{3CA63429-9059-42A9-96A8-EE57BD58ADEC},1837,Other Biking Issue,2015/07/09 15:18:20+00,Unassigned,2607,"Lanes seem very wide on Klingle in this area. Since Klingle is one lane west of here, can we remove one lane and add bike lane for part of it? Cars travel quickly and it's intimidating.",Biker
-77.0503946647229,38.9235968517259,1838,{746806AC-2051-4904-8485-37DD916289FF},1838,Long distance to cross,2015/07/09 15:20:27+00,Unassigned,2122,"It doesn't seem necessary to have two openings onto Woodley Pl from Calvert for cars to enter. Creates a long distance for peds to cross, even with mountable island in the intersection.",Pedestrian
-77.0345698644132,38.9185723480517,1839,{230E7264-6FAC-45CE-8EBE-8FA36CA63338},1839,Accessibility Issue,2015/07/09 15:22:40+00,Unassigned,8670,Huge tree heaving up sidewalk on west side of 15th Street here. Very difficult to get by on foot even without needing accessibility assistance.,Pedestrian
-77.01365600243,38.9019869848457,1840,{5CD811A5-655C-42F6-A6C4-4AA623239DF6},1840,Poor visibility,2015/07/09 15:26:11+00,Unassigned,277,Traffic heading NB New Jersey at this stop sign look left for oncoming traffic but never right for cyclists. Plenty of ROW here for a protected bikeway on NB New Jersey to enable safe bike passage through the 2nd/New Jersey/K St intersection.,Biker
-77.0364207158192,38.9505103016706,1841,{9826BF0B-43B6-4E3B-B00B-6E3E62ACD9E9},1841,Long distance to cross,2015/07/09 15:34:58+00,Unassigned,176,"Very wide intersection, given the angle.",Car Driver
-76.9790024977413,38.8831494376773,1842,{8DE3A83B-4A14-4132-ADF3-DE57718DE33E},1842,Failure to stop for pedestrians,2015/07/09 16:06:37+00,Unassigned,1114,"It is sometimes terrifying to cross 18th street in the location due to cars making a left from Potomac Ave.  Due to the high speeds of cars on Potomac and the location of parked vehicles, pedestrian visibility is low.  Several close calls.",Pedestrian
-77.0206026405902,38.9157213734647,1843,{6D3B1D5F-A132-452D-87B4-5E4769B98F2D},1843,Red light running,2015/07/09 17:58:24+00,Unassigned,8634,,Biker
-77.0384975670127,38.907928641652,1844,{FB07E8DD-E925-4D1C-9B0E-77F7D40F7109},1844,Red light running,2015/07/09 17:59:20+00,Unassigned,10230,,Biker
-77.0417089072342,38.8994256121716,1845,{A0FCC8B6-A38B-4F39-8326-CBA79AFD6DE1},1845,Jaywalking,2015/07/09 17:59:38+00,Unassigned,11282,"Perhaps because the light timing is off, or because Pennsylvania Ave is so overbuilt for the amount of vehicular traffic, jaywalking here is epic and epidemic.  Every cycle during AM and PM rush, dozens of pedestrians cross PA Ave against the light.",Biker
-77.0365359806133,38.9056616509643,1846,{599C6744-C6EA-4963-BB6A-10C7C2A98015},1846,Failure to stop for pedestrians,2015/07/09 17:59:47+00,Unassigned,3036,Southbound cars on 16th making the right onto M often fail to stop for pedestrians in the crosswalk,Pedestrian
-77.0877360679205,38.9357819560377,1847,{EBEF9F65-2478-4D3E-B795-50C81EEAE684},1847,Other Driving Issue,2015/07/09 17:59:50+00,Unassigned,9240,"Left turn arrow for vehicles onto Nebraska, pedestrians step into crosswalk with a do not walk sign.",Car Driver
-77.0280861011799,38.9188357621943,1848,{E39C45C8-6D3C-4DB7-8734-253326D1CD01},1848,Stop sign running,2015/07/09 18:00:23+00,Unassigned,8342,,Pedestrian
-77.0321917129021,38.8886299114867,1849,{78AD662F-14A9-4E4B-A0B1-76DEE252504B},1849,Jaywalking,2015/07/09 18:03:04+00,Unassigned,12162,"Unless you want to wait 10 minutes, jaywalking is the only option.",Pedestrian
-77.0315260545556,38.9529156342359,1850,{4A791E57-4439-4DC5-9FCD-6463DA3313D5},1850,Other Walking Issue,2015/07/09 18:05:22+00,Unassigned,6921,"With the very used Hamilton Park on this block, a mid-block crosswalk is needed for the many pedestrians (including kids) that cross every day.",Pedestrian
-77.033641267743,38.9013404583807,1851,{9808B491-B28D-41B4-9718-265B27560388},1851,Blocking the crosswalk,2015/07/09 18:06:18+00,Unassigned,13047,,Biker
-77.0345398709112,38.9148351848666,1852,{9867D887-9373-4AE0-BED7-EE9E0B7BEC5E},1852,Failure to stop for pedestrians,2015/07/09 18:06:23+00,Unassigned,6385,,Pedestrian
-77.0259636832393,38.8875741421896,1853,{921722E5-0EA5-4478-B611-696457E6F3A4},1853,Red light running,2015/07/09 18:07:03+00,Unassigned,10856,Big risk to tourists and people working nearby.  Cars often run red lights here.  A speeding camera is needed or a stobe red light.,Pedestrian
-77.0005795064687,38.8864787484882,1854,{32EBD252-AED1-4B1C-9A02-9761B13828ED},1854,Other Biking Issue,2015/07/09 18:08:29+00,Unassigned,7705,Drivers block cycle tracks and there is no safe cycle route through this intersection.,Biker
-77.0363867973408,38.9654157713012,1855,{9DB48487-52F6-4E60-950A-62FEC0623A71},1855,Other Driving Issue,2015/07/09 18:10:53+00,Unassigned,231,"Traffic light needed at this intersection. Traffic exiting Joyce Rd to 16th St has poor visibility and it is very dangerous to merge. Also, southbound traffic on 16th st blocks the intersection when stopped for the traffic light at Fort Stevens Dr.",Car Driver
-77.056761267969,38.9166367795094,1856,{17FAEB18-E44B-43BD-9F26-900C8CFC8291},1856,Other Driving Issue,2015/07/09 18:11:25+00,Unassigned,5069,"Should add a sign that downtown traffic (heading south on MASS. AVE) has a delayed green light.  So northbound when the light turns red, the southbound continues.  Pedestrians should be warned.",Pedestrian
-77.0332081359958,38.8955137584517,1857,{F0ADF590-CAC9-4623-BDF3-2887009D988D},1857,Other Biking Issue,2015/07/09 16:08:30+00,Unassigned,1067,"Constant illegal u-turns.  Very dangerous.  PLEASE install barriers before someone is killed.  This is on you, DC.",Biker
-76.9772654242304,38.8837292706347,1858,{DDEB3818-7ED2-4AFC-84BA-C73BA7ECA965},1858,Stop sign running,2015/07/09 16:13:26+00,Unassigned,8657,Cars do not stop at the stop sign at the end of Potomac Ave.,Pedestrian
-77.0187343221939,38.9281686357316,1859,{DF717419-E44B-4CF9-A812-9581C9B1A3C0},1859,Speeding,2015/07/09 16:17:02+00,Unassigned,12095,"Bicyclists heading Eastbound off Harvard enter Michigan Ave, where drivers have the road infrastructure to get up in speeds very quickly.",Biker
-77.0402601807891,38.9236680001443,1860,{848EBFF7-CB6B-4DD2-8743-E163F28C7F89},1860,Other Biking Issue,2015/07/09 16:17:04+00,Unassigned,7365,"The block is one giant pothole, which is very dangerous for cyclists, and frustrating for drivers.  This may be the worst block in the district.  I've submitted multiple repaving requests over the last few years and nothing has been done.",Biker
-77.0345347279724,38.9168989959332,1861,{82B3D2A4-E31B-4D75-A465-B87AAD92C751},1861,Red light running,2015/07/09 16:18:13+00,Unassigned,10024,Motorists turn left against red arrow constantly -- I see this multiple times a month.  Very dangerous for cyclists and pedestrians.,Biker
-77.0071900605003,38.9253638573654,1862,{599A211F-4722-4971-8A7F-7536162660AC},1862,Speeding,2015/07/09 16:19:27+00,Unassigned,12175,Drivers exit North Capitol St and use this network of Alleys to quickly connect to Michigan Ave. The speed limit is not obeyed and soon they will convert both alleyways into one way alleys and speeding is going to become an even greater issue.,Biker
-77.0058716909673,38.8762382871012,1863,{24F2C8BC-94A6-4A58-93AC-AEFE92F5FBB4},1863,Long wait to cross,2015/07/09 16:30:26+00,Unassigned,11220,,Pedestrian
-76.979639233875,38.8828429517336,1864,{4D577D0B-9811-4447-9843-74D808833CE6},1864,Poor visibility,2015/07/09 16:35:29+00,Unassigned,11954,"Motorists turning from west-bound Potomac Avenue fail to yield to pedestrians here because of poor visibility of crosswalk.

Consider sidewalk extensions to force a more perpendicular turn onto or out of E St. and Potomac Avenue.",Pedestrian
-76.9790002325508,38.8831039187896,1865,{60FD446D-99B9-4604-97E2-27DB2A3AE3F3},1865,Failure to stop for pedestrians,2015/07/09 16:36:49+00,Unassigned,1114,Southbound motorists on 18th St. often turn right without stopping causing a hazard for pedestrians crossing Potomac Avenue at E St. SE,Pedestrian
-77.0686943480571,38.9580513254803,1866,{85FCD5A4-8A17-4013-8121-D61C67D93F70},1866,Speeding,2015/07/09 17:54:04+00,Unassigned,10290,Motorists speed down the hill in both directions during off-peak hours. Speed camera needed.,Pedestrian
-77.0182267877773,38.9747428136616,1867,{B18A6C9F-C50B-4379-8956-9125E0171B81},1867,Poor visibility,2015/07/09 17:56:37+00,Unassigned,9605,"This is close to a blind intersection for cars turning right (headed northwest) onto Blair Rd from Carroll St. The crosswalk is hidden around the corner, and because cars often turn at speed, there is a constant risk of collision. It's very unsafe.",Pedestrian
-77.0477156077785,38.9350607645833,1868,{2FDAA837-7C21-43F2-B203-56E96A615E66},1868,Other Walking Issue,2015/07/09 17:56:39+00,Unassigned,11953,"This is a big intersection of bicyclists and runners coming onto Beach Drive/RCP bike paths, but there's just a couple of stop signs and a yield sign, barely any sidewalk, no crosswalk, etc.  Cars turning right onto Piney Branch can go very fast.",Pedestrian
-77.0280865285608,38.9191889300482,1869,{0A142033-AE1D-4532-BBAC-F78367598BB1},1869,Failure to stop for pedestrians,2015/07/09 17:57:30+00,Unassigned,8342,"Cars (including police cars!) constantly blow through this intersection without stopping, especially when turning right onto 12th.",Pedestrian
-77.087730571793,38.9357883686714,1870,{88C15CBE-C102-4C60-8526-33B198F4655E},1870,Other Driving Issue,2015/07/09 17:57:53+00,Unassigned,9240,Pedestrians walk on vehicle right turn green arrow and they do not have walk sign.,Car Driver
-77.0175308070221,38.9140923946759,1871,{18D9BC24-E7D5-4F83-90C0-1CB789A630C9},1871,Red light running,2015/07/09 17:57:59+00,Unassigned,11530,,Biker
-77.0204527975689,38.9764204617917,1872,{5E10CA82-A035-4215-BF53-2396A7952D7A},1872,Cyclist behavior,2015/07/09 17:58:17+00,Unassigned,6180,"Bicyclists frequently use the sidewalk headed northwest on Blair Rd between Dahlia and Piney Branch due to the narrow and congested vehicle lanes. But the sidewalk is also very narrow, and with several blind curves it's dangerous for pedestrians.",Pedestrian
-77.0310853535785,38.9466399927809,1873,{AEDBE0BF-0A23-48CD-AC58-D9ED5B69CD9F},1873,Other Biking Issue,2015/07/09 18:01:04+00,Unassigned,7507,"Cars speed and there's no bike lane.  Car parking is fairly sparse, so drivers tend to pressure bikes to move over into the ""parking lane"" to get out of their way.
Please take out parking along the bus barn and add separated bike lanes.",Biker
-77.0277505146179,38.9041982137141,1874,{62F180C2-B0EA-4470-806A-6FE9F262E9FF},1874,Other Driving Issue,2015/07/09 18:01:36+00,Unassigned,1511,Street needs repaving,Car Driver
-77.0296246984008,38.9066474000366,1875,{0C6AD31C-1E7D-4F14-AAC0-F73A6CF9E96E},1875,Speeding,2015/07/09 18:01:40+00,Unassigned,12913,Car drivers speed here in both directions.,Pedestrian
-77.0301518547086,38.9482644303859,1876,{3D5083AB-771E-4490-830D-5D087D5C659E},1876,Failure to stop for pedestrians,2015/07/09 18:01:56+00,Unassigned,4131,Cars speed through here and don't stop for pedestrians in the crosswalk.  Especially bad at rush hour.,Pedestrian
-77.0319746292262,38.8886305935966,1877,{493029B8-9F3B-432F-AB0F-BC3CDC24BD91},1877,Long wait to cross,2015/07/09 18:02:11+00,Unassigned,13128,Big risk to tourists!  The light takes so long that people just start walking across the street.  This crossing needs a count-down crossing indicator and the lights need to be re-timed for shorter duration waits.,Pedestrian
-77.0297035112243,38.948216728321,1878,{864733C9-7362-453D-BA72-99E0FB867787},1878,Failure to stop for pedestrians,2015/07/09 18:04:14+00,Unassigned,1179,"The intersection is very confusing because the light at Decatur only points southbound, and is either red or flashing yellow, but there's another light at Georgia and Iowa.
Neither cars nor pedestrians know what to do.",Pedestrian
-77.0329974187924,38.8888757261852,1879,{0FD6352F-D940-4970-84DA-34F1B9934F9B},1879,Long wait to cross,2015/07/09 18:04:33+00,Unassigned,2874,Big risk to tourists! The light takes so long that people just start walking across the street. This crossing needs a count-down crossing indicator and the lights need to be re-timed for shorter duration waits.,Pedestrian
-77.0394822649777,38.8899271862572,1880,{B79E3F18-3B63-4671-89C8-BF625AE57665},1880,Long wait to cross,2015/07/09 18:05:00+00,Unassigned,7231,Big risk to tourists! The light takes so long that people just start walking across the street. This crossing needs a count-down crossing indicator and the lights need to be re-timed for shorter duration waits.,Pedestrian
-77.0416619619071,38.9148418545547,1881,{9BD03040-376C-4A22-B699-8B5BDDBF24ED},1881,Failure to stop for pedestrians,2015/07/09 18:05:01+00,Unassigned,7150,,Pedestrian
-77.0394925809399,38.8889583866652,1882,{4F27751F-3C96-495B-83AE-89CD7F7B3167},1882,Long wait to cross,2015/07/09 18:05:14+00,Unassigned,11101,Big risk to tourists! The light takes so long that people just start walking across the street. This crossing needs a count-down crossing indicator and the lights need to be re-timed for shorter duration waits.,Pedestrian
-77.0472690072614,38.8845112975091,1883,{5683227E-57DC-4EA5-9351-25CE29A7D66E},1883,Double parking,2015/07/09 18:11:52+00,Unassigned,8117,Cars are often double parked waiting for spots.,Biker
-77.0333838672571,38.9699032671224,1884,{CFD47867-22BE-4E40-A617-9FA68FACC2E5},1884,Stop sign running,2015/07/09 18:11:59+00,Unassigned,10133,,Pedestrian
-77.0341890692142,38.9690149361886,1885,{A1AF0651-0D19-4BBF-BFB3-CE4F22C6DCC8},1885,Stop sign running,2015/07/09 18:12:14+00,Unassigned,5207,,Pedestrian
-77.0322593191259,38.9059624171257,1886,{2E1260E3-C725-4503-91E0-9A0EC78B61B4},1886,Red light running,2015/07/09 18:12:31+00,Unassigned,12993,Cars turn right across the bike lane even when the red arrow is signaling them to stop.,Biker
-77.0493776374169,38.8902732129715,1887,{A35E80D9-3426-460E-949B-7BF02BCFA8AC},1887,Long wait to cross,2015/07/09 18:12:44+00,Unassigned,10127,"Big risk to tourists! The light takes so long that people just start walking across the street. This crossing needs a count-down crossing indicator and should not be a ""must press button"" crossing as it is now. Also, cars tend to block the crosswalk.",Pedestrian
-77.0548628291314,38.8918924937742,1888,{009DE867-5175-4440-9023-0696B0E73BB3},1888,Failure to stop for pedestrians,2015/07/09 18:12:53+00,Unassigned,11439,Cars rarely stop to allow pedestrians and or cyclists to cross.  Speeds are often very excessive.,Pedestrian
-77.041814646472,38.9606705420174,1889,{B098AD46-A718-4E41-A7B2-27F48DEC55E1},1889,Stop sign running,2015/07/09 18:12:56+00,Unassigned,10120,,Car Driver
-77.0501632401381,38.8904696716232,1890,{013C60CD-7210-41E6-9848-9AB6CCD5E661},1890,Long wait to cross,2015/07/09 18:13:12+00,Unassigned,11189,"Big risk to tourists! The light takes so long that people just start walking across the street. This crossing needs a count-down crossing indicator and should not be a ""must press button"" crossing as it is now.",Pedestrian
-77.0349039239485,38.9006146222391,1891,{66972850-D1C9-4163-8CD0-FDB5CE109445},1891,Blocking the bikebox,2015/07/09 18:15:00+00,Unassigned,10761,"Livery and official vehicles  waiting in front of the VA often back to far into parking spots, partially blocking the bike lanes. Additionally, many idle here for long periods of time creating a tunnel of exhaust.",Biker
-77.0513826722961,38.8893358263581,1892,{0F8C1055-1388-4818-B697-EB645AED1331},1892,Other Walking Issue,2015/07/09 18:24:17+00,Unassigned,6299,No easy pedestrian route. Pedestrians are forced to walk completely around the circle to reach this.,Pedestrian
-77.0493430962981,38.9096428500067,1893,{26BC2FD1-8135-4774-B539-BAB1B51F3699},1893,Failure to stop for pedestrians,2015/07/09 18:24:24+00,Unassigned,10095,Cars frequently make a right hand turn here into crossing pedestrians.  The street crossing signal needs to turn green before the traffic light turns green.,Pedestrian
-77.0347368783565,38.9192910218166,1894,{35A10240-9F21-4587-8955-86696B3622F7},1894,Not enough time to cross,2015/07/09 18:24:29+00,Unassigned,1195,"There's not enough time to cross both 15th and Florida and I'm an able bodied adult. If you don't make it, you have to wait a long time to cross Florida or 15th. 20 seconds doesn't seem like a long time.",Pedestrian
-77.0493448160219,38.9085805534972,1895,{86149C80-F283-486C-9995-D05BC8E68727},1895,Failure to stop for pedestrians,2015/07/09 18:25:20+00,Unassigned,12927,A pedestrian-activated flashing crossing light is needed here.,Pedestrian
-77.0051087148302,38.9314564432864,1896,{96910673-3F84-4BFF-8927-442CF4E5865D},1896,Other Biking Issue,2015/07/09 18:45:08+00,Unassigned,12082,"Need real bike facilities for this stretch.  The sidewalk on the eastbound side is hazardous, has many sharp turns, and crosses on/off ramps for this highway.",Biker
-77.0308029070537,38.9473426757082,1897,{344605F8-096E-43F0-A5F3-D7F6EDAE3AC9},1897,Failure to stop for pedestrians,2015/07/09 18:46:39+00,Unassigned,7507,Very hard to walk across this intersection.,Pedestrian
-77.0076866204323,38.915556294689,1898,{6CC57611-D1ED-486D-A10F-BAD8AC3E2116},1898,Long wait to cross,2015/07/09 18:47:07+00,Unassigned,73,Extra long light here if pedestrians are walking across T Street,Pedestrian
-76.9958319441189,38.9213752825574,1899,{15E3B954-D306-4D5C-BA2C-4579934884CD},1899,Other Walking Issue,2015/07/09 18:47:45+00,Unassigned,6661,Cars speed through here at 50 MPH,Pedestrian
-77.0313981800476,38.9458550417736,1900,{C56E1F9B-0971-43A2-A03D-D17D53718F6B},1900,Other Driving Issue,2015/07/09 18:48:26+00,Unassigned,6975,"Ridiculous illegal parking every Sunday and when church events are going on.  Cars parked right up to the corners make it hazardous for drivers and pedestrians to see each other.  ZERO response from the city, and such easy targets.  Ticket and tow!!!",Car Driver
-77.0052876064357,38.9093654444601,1901,{D3370BAB-D2FD-4618-9C59-F166428896B2},1901,Other Driving Issue,2015/07/09 18:49:09+00,Unassigned,5256,"This intersection is one of the worst in the city. Traffic from all angles - Eckington PL, NY Ave, FL Ave - are routinely backed up and cause congestion for pedestrians, drivers, and cyclists at this intersection. A traffic study would be helpful.",Pedestrian
-77.0496885909472,38.9442193872452,1905,{3309E6D0-6BF0-435E-A918-B16C33857B59},1905,Other Driving Issue,2015/07/09 18:15:16+00,Unassigned,1980,Traffic driving from and to Broad Branch drive fail to Yield and Stop to traffic traveling southbound on beach drive.,Car Driver
-77.0460345577338,38.9141152577358,1906,{C84ACE21-3D2A-491A-B89D-B949AAA96B6F},1906,Red light running,2015/07/09 18:15:20+00,Unassigned,8422,"The ""No Turn on Red"" sign on eastbound S Street (above the red light on the far side of Connecticut Avenue) is very difficult to see at night. Many motorist either don't see the sign or ignore it.",Pedestrian
-77.0334956515908,38.8964043165275,1907,{7263A372-6CBB-4381-A9C1-077615CF7752},1907,Red light running,2015/07/09 18:15:42+00,Unassigned,4060,Car drivers are many times confused by the green light for bicyclists and will proceed to make a left turn across the bicyclists crossing 15th.  Need a more prominent red light for cars.,Biker
-77.0564625112817,38.8959373939326,1908,{DC3D8756-1B4B-40D0-A4C0-662E283B6AFE},1908,Other Biking Issue,2015/07/09 18:16:11+00,Unassigned,4889,This part of the trail needs repaving since it's in a bad state of repair.,Biker
-77.0512493930929,38.939470497707,1909,{AE28D0E7-F557-4EC6-9B61-595E4FAD437A},1909,Red light running,2015/07/09 18:16:30+00,Unassigned,2870,,Car Driver
-77.0206585308193,38.9766980700539,1910,{E1FFF3C4-FB62-4227-8EB3-A8AE41D0920F},1910,Other Driving Issue,2015/07/09 18:17:01+00,Unassigned,9044,"Cars traveling southbound on Blair Rd and stopped at Piney Branch often fail to stop behind the line, which then blocks cars making the sharp right turn from Piney Branch onto Blair. The existing intersection markings are not clear enough.",Car Driver
-77.0066744752398,38.8792919828439,1911,{6BCD71FC-F7BA-4D2D-A731-26EE86BB1B89},1911,Double parking,2015/07/09 18:17:17+00,Unassigned,6001,Cars are often double parked in the bike lane.,Biker
-77.0110356940569,38.879293274507,1912,{54EA0AC3-4759-43BA-946F-D2D2320FBC09},1912,Blocking the bikebox,2015/07/09 18:18:17+00,Unassigned,10109,"The sharrow marked lane is a parking lane on sunday, and is blocked by the line for the DMV inspection station other days.",Biker
-77.0514486710566,38.9207023634335,1913,{CB462C60-DAF9-43DF-B95F-288012EEE4D7},1913,Other Driving Issue,2015/07/09 18:18:56+00,Unassigned,11953,Line cutters during rush hours back up the traffic on the correct lane onto beach drive. More enforcement is needed.,Car Driver
-77.040340579033,38.9242334274757,1914,{B8AE510E-3BA7-46E8-8B94-9D1E4E7531A8},1914,Red light running,2015/07/09 18:19:04+00,Unassigned,10909,I'm almost hit at this light at least once a week. Drivers  (including Circulator drivers) constantly run and it and there's zero enforcement.,Pedestrian
-77.0477156077785,38.9350607645833,1915,{29D533EA-49E5-44AC-A449-20320A7C91EB},1915,Stop sign running,2015/07/09 18:20:17+00,Unassigned,11953,,Car Driver
-77.0005649101121,38.9313196868228,1916,{1D58AC8B-E418-43FE-AEAB-D9AC5C5D9FBC},1916,Red light running,2015/07/09 18:20:42+00,Unassigned,9601,"Cars turning left from westbound Michigan Ave onto 4th St NE frequently run the red turn arrow. Often, they continue to turn at high speeds when pedestrians have the right-of-way. I have seen several near-misses at this intersection.",Pedestrian
-77.03364893698,38.8969256677035,1917,{32027C08-F15D-4608-905D-C5A8AC7825C2},1917,Other Biking Issue,2015/07/09 18:21:26+00,Unassigned,6255,There is often horse excrement in the cycle tracks.,Biker
-77.0493423583369,38.9096227689135,1918,{53525A46-D633-470E-9A0B-CB6559155918},1918,Red light running,2015/07/09 18:21:58+00,Unassigned,10095,,Pedestrian
-77.0501034614311,38.9072527125964,1919,{DC3729F0-2F51-47AC-A4EE-6C2A289D2945},1919,Red light running,2015/07/09 18:22:26+00,Unassigned,9733,,Car Driver
-77.0514085440544,38.9072360783247,1920,{20F2D5FB-0F81-482B-822E-467306D87AA2},1920,Stop sign running,2015/07/09 18:22:46+00,Unassigned,7417,,Car Driver
-77.0493425162477,38.908572766752,1921,{2F5348F8-FC16-4046-B49A-70B880A048EC},1921,Failure to stop for pedestrians,2015/07/09 18:22:52+00,Unassigned,12927,Pedestrians in the crosswalk are at great danger here since cars will not stop!,Pedestrian
-77.0317810513929,38.9306200215517,1922,{B1BD7E60-2D97-41B9-AC3D-B239363A15BC},1922,Double parking,2015/07/09 18:22:52+00,Unassigned,12399,This stretch in front of the Giant on Park Rd is a complete mess due to the persistent double-parking. It's totally unnecessary due to the ample off-street parking in the attached garage. The parking rules need to be enforced and strengthened.,Car Driver
-77.0239774294794,38.8938843564096,1923,{C01CBC20-99E0-4531-AD4F-8144FF0BFD25},1923,Red light running,2015/07/09 18:23:39+00,Unassigned,10963,Someone runs the red here almost every cycle during evening rush hour. It's absurdly dangerous.,Pedestrian
-77.0501929110083,38.9120023957911,1924,{9216C4E3-0BE1-422C-ADDA-3A100CF627F6},1924,Failure to stop for pedestrians,2015/07/09 18:26:45+00,Unassigned,50,Cars do not stop for pedestrians in the crosswalk.,Pedestrian
-76.997786567959,38.8763460290976,1925,{D94291CF-9666-4A4A-BE99-042BF7D972EA},1925,Long wait to cross,2015/07/09 18:26:58+00,Unassigned,786,"During evening rush hour, the light will cycle through multiple times without allowing crossing M st (or traffic to go through the light off the Navy Yard).",Pedestrian
-77.0506643686114,38.9117874847735,1926,{FB2D3958-CE7D-4CD0-A6BE-79EF674B3E70},1926,Failure to stop for pedestrians,2015/07/09 18:27:00+00,Unassigned,4148,Cars do not stop for pedestrians in the crosswalk.,Pedestrian
-77.0502976509502,38.9120386165323,1927,{954CF6C4-0986-4890-B9B8-25C60B369257},1927,Failure to stop for pedestrians,2015/07/09 18:28:08+00,Unassigned,50,Cars do not stop for pedestrians in the crosswalk.,Pedestrian
-77.0509451107238,38.9123947726783,1928,{1EA13F80-C8C8-40CC-A711-9983C4EEE130},1928,Failure to stop for pedestrians,2015/07/09 18:28:27+00,Unassigned,5305,Cars do not stop for pedestrians in the crosswalk.,Pedestrian
