walkscore,bikescore,transitscore,near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,agency_id,incident_id,scrape_datetime,call_received_datetime,call_closed_datetime,fulldisplayaddress,longitude,latitude,incident_type,unit,unit_status_transport,transport_unit_is_amr,transport_unit_is_non_amr,unit_json,num_units_responding,geography,unit_ids,agency_incident_id,crash_objectid,crash_geo,crash_total_injuries,crash_total_major_injuries,crash_total_minor_injuries,crash_total_fatalities,crash_bike_injuries,crash_car_injuries,crash_ped_injuries,injuries_mismatch,distance_to_crash,time_between_crash_and_report,crash_intersection_id,crash_block_objectid,crash_time_rank,distance_to_nearest_block,aadt,totaltravellanes,totalcrosssectionwidth,totalparkinglanes,doubleyellow_line,summarydirection,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass,nhstype,routename,block_objectid,dcfunctionalclass_desc,distance_to_nearest_intersection,intersectionid,intersection_type,int_road_types,int_road_block_ids,street_names,national_park
56.00,54.00,36.00,[None],,,,,,3D,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",3D03,Ward 3,000901,ROCK CREEK WEST,EMS1205,880080901,2021-02-06 16:40:02+00:00,2021-02-06 07:55:16+00:00,2021-02-06 08:10:43+00:00,"WESTMORELAND CIR NW & MASSACHUSETTS AVE NW, WASHINGTON, DC",-77.1006130000,38.9486510000,TC,"[{'UnitID': 'A20', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E20', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A20', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E20', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000005B238271704653C0AA285E656D794340,"['""A20""', '""E20""']",EMS1205880080901,,,,,,,,,,1,,,,,1,0.53989594,24539.0,4,43,0,Yes,BD,2,6,30.0,14.0,NHS Non-Interstate,MASSACHUSETTS AVE NW,129876,Principal Arterial,0.90748526,15277,REGULAR,"['Minor Arterial', 'Principal Arterial']","['129876', '131676', '132550']","['MASSACHUSETTS AVENUE NW', 'WESTMORELAND CIRCLE NW']",0
56.00,59.00,73.00,[None],,,,,,5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A06,Ward 5,009501,ROCK CREEK EAST,EMS1205,852442278,2020-12-29 04:00:01+00:00,2020-12-28 22:25:36+00:00,2020-12-28 23:52:40+00:00,"ALLISON ST NE & NORTH CAPITOL ST NE, WASHINGTON, DC",-77.0075090000,38.9463430000,TC,"[{'UnitID': 'A14', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-28T23:18:12Z'}, {'UnitID': 'AMR209', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-28T23:52:40Z'}, {'UnitID': 'E14', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-28T22:28:55Z'}]",0,0,0,"[{'UnitID': 'A14', 'UnitClearedDateTime': '2020-12-28T23:18:12Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'AMR209', 'UnitClearedDateTime': '2020-12-28T23:52:40Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E14', 'UnitClearedDateTime': '2020-12-28T22:28:55Z', 'PulsePointDispatchStatus': 'AR'}]",3,0101000020E61000003E5B07077B4053C036E675C421794340,"['""A14""', '""AMR209""', '""E14""']",EMS1205852442278,197352937,0101000020E61000001D9CF88A7A4053C044DC1B6622794340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.33933795,0 days 00:56:48.000000000,18839,133266,1,0.33638209,41836.0,5,68,0,,BD,1,6,20.0,14.0,NHS Non-Interstate,CLERMONT DR NE,130247,Principal Arterial,0.94611318,18839,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['126693', '130179', '130247', '133266', '134711']","['ALLISON STREET NE', 'ALLISON STREET NW', 'CLERMONT DRIVE NE', 'HAWAII AVENUE NE']",0
56.00,61.00,81.00,[None],,,,,,6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,CENTRAL WASHINGTON,EMS1205,906906037,2021-03-16 01:00:02+00:00,2021-03-15 20:17:39+00:00,2021-03-15 22:35:23+00:00,"13TH ST SW & C ST SW, WASHINGTON, DC",-77.0296210000,38.8859710000,TC,"[{'UnitID': 'A30B', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E23', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'A30B', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E23', 'PulsePointDispatchStatus': 'OS'}]",2,0101000020E610000097917A4FE54153C02A1A6B7F67714340,"['""A30B""', '""E23""']",EMS1205906906037,197381939,0101000020E6100000B409BF55E54153C08437DB2F5A714340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,45.09523865,0 days 06:25:15.000000000,,124638,1,0.18265647,,2,40,2,,BD,2,10,20.0,19.0,,13TH ST SW,124638,Local,0.90616137,15104,REGULAR,"['Collector', 'Local']","['124638', '135182', '137442']","['13TH STREET SW', 'C STREET SW']",0
56.00,62.00,39.00,[None],,,,,,3D,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",3D05,Ward 3,000802,ROCK CREEK WEST,EMS1205,891753499,2021-02-23 01:50:01+00:00,2021-02-22 20:22:41+00:00,2021-02-22 21:45:10+00:00,"WHITEHAVEN PKWY NW & MACARTHUR BLVD NW, WASHINGTON, DC",-77.0946730000,38.9156290000,TC,"[{'UnitID': 'A29', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E29', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A29', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E29', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000001CB4571F0F4653C07522C15433754340,"['""A29""', '""E29""']",EMS1205891753499,197370128,0101000020E6100000607873E30B4653C0ACBEBB8934754340,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0,17.60058072,0 days 01:09:27.000000000,,134616,1,0.61540102,9461.0,4,54,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,MACARTHUR BLVD NW,129152,Principal Arterial,0.86389886,16816,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['126284', '129152', '131055', '134616']","['MACARTHUR BOULEVARD NW', 'RESERVOIR ROAD NW', 'WHITEHAVEN PARKWAY NW']",0
57.00,25.00,62.00,[None],,,,,,7B,Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",7B02,Ward 7,007604,FAR NORTHEAST AND SOUTHEAST,EMS1205,885179169,2021-02-14 01:30:01+00:00,2021-02-13 19:48:01+00:00,2021-02-13 22:06:51+00:00,"NAYLOR RD SE & 27TH ST SE, WASHINGTON, DC",-76.9702130000,38.8662760000,TC,"[{'UnitID': 'A19', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E32', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'M19', 'PulsePointDispatchStatus': 'ER'}]",0,0,0,"[{'UnitID': 'A19', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E32', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'M19', 'PulsePointDispatchStatus': 'ER'}]",3,0101000020E6100000DC4944F8173E53C0A4A7C821E26E4340,"['""A19""', '""E32""', '""M19""']",EMS1205885179169,197368386,0101000020E61000004CC64119093E53C07CE5179FF96E4340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,111.97438311,0 days 00:38:45.000000000,,136599,1,0.29495454,15190.0,3,47,0,,BD,2,6,25.0,16.0,,NAYLOR RD SE,136736,Minor Arterial,0.8507457,16272,REGULAR,['Minor Arterial'],"['124046', '136599', '136736']","['27TH STREET SE', 'NAYLOR ROAD SE']",0
57.00,33.00,59.00,[None],,,,,,8A,Cluster 28,Historic Anacostia,8A05,Ward 8,007504,FAR SOUTHEAST AND SOUTHWEST,EMS1205,861207120,2021-01-09 22:00:02+00:00,2021-01-09 15:25:38+00:00,2021-01-09 15:41:08+00:00,"FENDALL ST SE & U ST SE, WASHINGTON, DC",-76.9798050000,38.8648970000,TC,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-09T15:41:08Z'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-09T15:35:56Z'}]",0,0,0,"[{'UnitID': 'A32', 'UnitClearedDateTime': '2021-01-09T15:41:08Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E19', 'UnitClearedDateTime': '2021-01-09T15:35:56Z', 'PulsePointDispatchStatus': 'AR'}]",2,0101000020E610000044DD0720B53E53C04AB4E4F1B46E4340,"['""A32""', '""E19""']",EMS1205861207120,197356602,0101000020E6100000D48A1D4BB53E53C0F2604A4EB46E4340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.34145494,0 days 01:24:14.000000000,18694,136180,1,0.37399075,,1,24,2,,OB,2,6,20.0,19.0,,FENDALL ST SE,136180,Local,0.84303047,18694,REGULAR,['Local'],"['123865', '124347', '136180', '136781']","['FENDALL STREET SE', 'U STREET SE']",0
57.00,34.00,57.00,"['Ingenuity Prep PCS', 'National Collegiate Preparatory Public Charter High School', 'Statesmen College Preparatory Academy for Boys PCS']",1.0,0.0,1.0,0.0,1.0,8D,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8D02,Ward 8,009811,FAR SOUTHEAST AND SOUTHWEST,EMS1205,855715839,2021-01-01 18:00:02+00:00,2021-01-01 09:27:34+00:00,2021-01-01 10:00:22+00:00,"4560 3RD ST SE, WASHINGTON, DC",-77.0018040000,38.8238600000,TC,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T10:00:22Z'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T09:50:50Z'}]",0,0,0,"[{'UnitID': 'A32', 'UnitClearedDateTime': '2021-01-01T10:00:22Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E33', 'UnitClearedDateTime': '2021-01-01T09:50:50Z', 'PulsePointDispatchStatus': 'AR'}]",2,0101000020E61000002140868E1D4053C0C53D963E74694340,"['""A32""', '""E33""']",EMS1205855715839,197352126,0101000020E610000097EC4C5C1F4053C05AE0B19079694340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.40428392,0 days 01:27:18.000000000,,124264,1,20.40174259,,2,34,2,,BD,2,6,20.0,19.0,,3RD ST SE,124264,Local,35.60848729,18063,REGULAR,['Local'],"['124264', '134991', '137217']","['3RD STREET SE', 'LIVINGSTON ROAD SE']",0
57.00,34.00,57.00,[None],,,,,,8D,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8D02,Ward 8,009811,FAR SOUTHEAST AND SOUTHWEST,EMS1205,867239190,2021-01-18 21:40:02+00:00,2021-01-18 14:43:19+00:00,2021-01-18 15:09:20+00:00,"400 SOUTHERN AVE SE, WASHINGTON, DC",-77.0003790000,38.8223660000,TC,"[{'UnitID': 'A19B', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'A19B', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'OS'}]",2,0101000020E6100000BB26A435064053C0D2AB014A43694340,"['""A19B""', '""E33""']",EMS1205867239190,197358231,0101000020E61000002BE124AD0D4053C01519F1262C694340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87.80902614,0 days 12:19:12.000000000,,137428,1,30.50576692,15724.0,4,40,0,Yes,BD,2,7,30.0,16.0,,SOUTHERN AVE SE,137428,Minor Arterial,,,,,,,0
57.00,35.00,56.00,[None],,,,,,7E,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7E03,Ward 7,009905,FAR NORTHEAST AND SOUTHEAST,EMS1205,880718736,2021-02-07 16:20:01+00:00,2021-02-07 05:41:14+00:00,2021-02-07 05:59:07+00:00,"53RD ST SE & F ST SE, WASHINGTON, DC",-76.9268840000,38.8813220000,TC,"[{'UnitID': 'A30B', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A30B', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E6100000E2CB4411523B53C0669FC728CF704340,"['""A30B""', '""E19""']",EMS1205880718736,197366880,0101000020E61000002DFFB1B3523B53C09CDF868DCF704340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6150892,0 days 00:48:57.000000000,16484,134910,1,0.30803916,,1,30,2,,IB,2,7,20.0,19.0,,53RD ST SE,135883,Local,0.87348489,16484,REGULAR,['Local'],"['124105', '134910', '135883', '137225']","['53RD STREET SE', 'F STREET SE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,845587434,2020-12-19 11:00:01+00:00,2020-12-19 02:07:43+00:00,2020-12-19 02:33:08+00:00,"SOUTH DAKOTA AVE NE & BLADENSBURG RD NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'A12', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-19T02:33:08Z'}, {'UnitID': 'E17', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-19T02:20:11Z'}]",0,0,0,"[{'UnitID': 'A12', 'UnitClearedDateTime': '2020-12-19T02:33:08Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E17', 'UnitClearedDateTime': '2020-12-19T02:20:11Z', 'PulsePointDispatchStatus': 'AR'}]",2,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""A12""', '""E17""']",EMS1205845587434,197349812,0101000020E6100000A7446782D43D53C0EF4602DA88764340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.16451355,0 days 04:23:08.000000000,,130764,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,852801595,2020-12-29 18:00:01+00:00,2020-12-29 12:23:01+00:00,2020-12-29 12:46:37+00:00,"SOUTH DAKOTA AVE NE & BLADENSBURG RD NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'A26', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-29T12:46:37Z'}, {'UnitID': 'E26', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-29T12:31:09Z'}]",0,0,0,"[{'UnitID': 'A26', 'UnitClearedDateTime': '2020-12-29T12:46:37Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E26', 'UnitClearedDateTime': '2020-12-29T12:31:09Z', 'PulsePointDispatchStatus': 'AR'}]",2,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""A26""', '""E26""']",EMS1205852801595,197353003,0101000020E610000000077483D13D53C0529B202283764340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,102.13002296,0 days 01:32:04.000000000,,130764,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,855162735,2020-12-31 21:50:01+00:00,2020-12-31 18:05:32+00:00,2020-12-31 18:19:15+00:00,"SOUTH DAKOTA AVE NE & BLADENSBURG RD NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'E03', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-31T18:19:15Z'}]",0,0,0,"[{'UnitID': 'E03', 'UnitClearedDateTime': '2020-12-31T18:19:15Z', 'PulsePointDispatchStatus': 'AR'}]",1,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""E03""']",EMS1205855162735,197353051,0101000020E61000004900DA52CC3D53C0D68F2CE760764340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,52.9646549,0 days 00:35:04.000000000,,130686,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,855540401,2021-01-01 10:20:02+00:00,2021-01-01 04:15:13+00:00,2021-01-01 05:22:48+00:00,"2520 SOUTH DAKOTA AVE NE, WASHINGTON, DC",-76.9644840000,38.9244180000,TCE,"[{'UnitID': 'A12', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:08:49Z'}, {'UnitID': 'BC1', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:01:49Z'}, {'UnitID': 'E26', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:10:57Z'}, {'UnitID': 'EMS6', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:20:41Z'}, {'UnitID': 'M08', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:17:00Z'}, {'UnitID': 'M17', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:22:47Z'}, {'UnitID': 'R1', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:06:08Z'}, {'UnitID': 'T15', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T05:11:04Z'}]",1,0,1,"[{'UnitID': 'A12', 'UnitClearedDateTime': '2021-01-01T05:08:49Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'BC1', 'UnitClearedDateTime': '2021-01-01T05:01:49Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E26', 'UnitClearedDateTime': '2021-01-01T05:10:57Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'EMS6', 'UnitClearedDateTime': '2021-01-01T05:20:41Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M08', 'UnitClearedDateTime': '2021-01-01T05:17:00Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M17', 'UnitClearedDateTime': '2021-01-01T05:22:47Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'R1', 'UnitClearedDateTime': '2021-01-01T05:06:08Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'T15', 'UnitClearedDateTime': '2021-01-01T05:11:04Z', 'PulsePointDispatchStatus': 'AR'}]",8,0101000020E6100000FA60191BBA3D53C0B8EA3A5453764340,"['""A12""', '""BC1""', '""E26""', '""EMS6""', '""M08""', '""M17""', '""R1""', '""T15""']",EMS1205855540401,197352115,0101000020E61000004133F3B5B23D53C0CD076BE952764340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39.16694401,0 days 01:05:39.000000000,,133384,1,24.55206535,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,,,,,,,0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,862227008,2021-01-11 11:40:01+00:00,2021-01-11 02:17:06+00:00,2021-01-11 02:31:58+00:00,"BLADENSBURG RD NE & SOUTH DAKOTA AVE NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'A12', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-11T02:31:58Z'}, {'UnitID': 'E26', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-11T02:25:53Z'}]",0,0,0,"[{'UnitID': 'A12', 'UnitClearedDateTime': '2021-01-11T02:31:58Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E26', 'UnitClearedDateTime': '2021-01-11T02:25:53Z', 'PulsePointDispatchStatus': 'AR'}]",2,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""A12""', '""E26""']",EMS1205862227008,197357947,0101000020E6100000512D3E9CCC3D53C0E42481BE79764340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61.07912026,0 days 00:31:53.000000000,16049,130764,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,875553151,2021-01-30 23:50:02+00:00,2021-01-30 19:33:24+00:00,2021-01-30 19:41:10+00:00,"2725 BLADENSBURG RD NE, WASHINGTON, DC",-76.9652090000,38.9248480000,TC,"[{'UnitID': 'E26', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'E26', 'PulsePointDispatchStatus': 'DP'}]",1,0101000020E61000008333F8FBC53D53C0B0E2546B61764340,"['""E26""']",EMS1205875553151,,,,,,,,,,1,,,,,1,23.06889471,12651.0,6,69,0,,BD,2,10,30.0,16.0,,BLADENSBURG RD NE,130686,Minor Arterial,36.64280027,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,878893817,2021-02-04 23:00:03+00:00,2021-02-04 18:52:50+00:00,2021-02-04 19:03:42+00:00,"BLADENSBURG RD NE & SOUTH DAKOTA AVE NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'E12', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'E12', 'PulsePointDispatchStatus': 'DP'}]",1,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""E12""']",EMS1205878893817,,,,,,,,,,1,,,,,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,887267328,2021-02-16 19:30:02+00:00,2021-02-16 14:04:10+00:00,2021-02-16 16:22:36+00:00,"BLADENSBURG RD NE & SOUTH DAKOTA AVE NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'E26', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'E26', 'PulsePointDispatchStatus': 'OS'}]",1,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""E26""']",EMS1205887267328,197369556,0101000020E6100000C4284F09C63D53C041246CE76A764340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,5.51698916,0 days 00:45:52.000000000,16048,130686,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,902469924,2021-03-10 01:40:01+00:00,2021-03-09 20:41:16+00:00,2021-03-09 20:54:34+00:00,"SOUTH DAKOTA AVE NE & 31ST ST NE, WASHINGTON, DC",-76.9636550000,38.9241540000,TC,"[{'UnitID': 'E10', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'E10', 'PulsePointDispatchStatus': 'OS'}]",1,0101000020E61000001F680586AC3D53C0DA3BA3AD4A764340,"['""E10""']",EMS1205902469924,,,,,,,,,,1,,,,,1,0.42987502,,2,32,2,,BD,2,6,20.0,19.0,,31ST ST NE,131212,Local,0.93155261,12986,REGULAR,"['Local', 'Principal Arterial']","['131212', '132419', '133384']","['31ST STREET NE', 'SOUTH DAKOTA AVENUE NE']",0
57.00,37.00,49.00,[None],,,,,,5C,Cluster 24,"Woodridge, Fort Lincoln, Gateway",5C04,Ward 5,011100,UPPER NORTHEAST,EMS1205,903126610,2021-03-10 23:30:01+00:00,2021-03-10 18:48:31+00:00,2021-03-10 21:16:18+00:00,"BLADENSBURG RD NE & SOUTH DAKOTA AVE NE, WASHINGTON, DC",-76.9651620000,38.9251680000,TC,"[{'UnitID': 'E17', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'E17', 'PulsePointDispatchStatus': 'OS'}]",1,0101000020E6100000E355D636C53D53C022A7AFE76B764340,"['""E17""']",EMS1205903126610,197138415,0101000020E6100000FF2512DAC93D53C0AD4C18F564764340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,34.00792783,0 days 00:57:42.000000000,,130686,1,0.5335943,33299.0,5,55,0,,BD,2,6,25.0,14.0,NHS Non-Interstate,SOUTH DAKOTA AVE NE,133384,Principal Arterial,0.93118119,16048,REGULAR,"['Minor Arterial', 'Principal Arterial']","['130686', '132345', '133384', '134577']","['BLADENSBURG ROAD NE', 'SOUTH DAKOTA AVENUE NE']",0
