,OBJECTID_left,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MARID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,BLOCKKEY,SUBBLOCKKEY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER,geometry,YEAR,index_right,OBJECTID_right,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
72007,167406080,24502896,13037413,2013-03-23T05:00:00+00:00,Route not found,0.0,0.0,5540.0,12688.0,2013-03-23T04:00:00+00:00,1970-01-01T00:00:00+00:00,906878,14TH ST NW and  COLUMBIA RD NW,38.927539,-77.032516,397180.495,139962.79,Ward 1,{20DE8686-436D-49EF-9A8C-5360E4FC3172},14TH STREET NW AND COLUMBIA ROAD NW,100.0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,1,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72020,167406093,25289344,15086326,2015-06-10T05:00:00+00:00,Route not found,0.0,0.0,12819.0,12952.0,2015-06-10T04:00:00+00:00,1970-01-01T00:00:00+00:00,299993,901 RHODE ISLAND AVE NE,38.920334,-76.990095,400858.914,139162.548,Ward 5,{2E81FCF1-C733-4E98-A364-F87DC6F88DE5},901 RHODE ISLAND AVENUE NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72079,167406152,25289435,15086361,2015-06-10T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2015-06-10T04:00:00+00:00,1970-01-01T00:00:00+00:00,913908,NEW YORK AVE NE and  NORTH CAPITOL ST NE,38.907399,-77.008917,399226.608,137726.627,Null,{133A77AD-0090-44B4-B76A-61C1643BDC55},NEW YORK AVENUE NE AND NORTH CAPITOL STREET NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72128,167406201,26620223,12034896,2012-03-13T05:00:00+00:00,Route not found,0.0,0.0,8252.0,6927.0,2012-03-13T04:00:00+00:00,1970-01-01T00:00:00+00:00,303872,RHODE ISLAND AVE NE and  MONTANA AVE NE,38.924567,-76.985595,401249.093,139632.47,Ward 5,{E8CDE55F-CB09-47D7-93E5-CAB562F5DB59},RHODE ISLAND PLAZA,85.0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72173,167406246,27013504,16123087,2016-07-25T10:09:27+00:00,12031982,9434.17,11.36,5003.0,15171.0,2016-07-24T04:00:00+00:00,1970-01-01T00:00:00+00:00,1609,6500 EASTERN AVENUE NE,38.968721,-77.006513,399443.677,144541.919,Ward 4,{FE3E972B-6EF6-4082-AF95-CC509ECE3C0C},6502 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12051352,KANSAS AVE NE,41.83,Northwest,,1970-01-01T00:00:00+00:00,38.968721,-77.006513,399440.8,144516.67,f02a9e388c7d4c8b0daf2bf978228baf,1ae389e857abad72820ac7d448d16571,0,0,0,0,POINT Z (-77.00642208717636 38.96880074442815 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72175,167406248,27931011,19013842,2019-01-24T23:57:40+00:00,11092692,1596.98,5.76,-9.0,28024.0,2019-01-24T05:00:00+00:00,1970-01-01T00:00:00+00:00,267724,5211 WESTERN AVENUE NW,38.957377,-77.089635,392230.973,143278.412,Ward 3,{62CA6406-6E84-43CB-B4E6-8596A2552FAE},5211 WESTERN AVENUE NW,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11049982,JENIFER ST NW,0.14,Northeast,,1970-01-01T00:00:00+00:00,38.959326,-77.087535,392231.14,143285.74,bca2d5d96d6cd2bc3c7508d8a8d7f459,bca2d5d96d6cd2bc3c7508d8a8d7f459,0,0,0,0,POINT Z (-77.08758459358448 38.95937026622639 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72214,167406287,28193203,19182851,2019-10-13T03:22:01+00:00,12051802A,1374.21,6.51,,,2019-10-12T04:00:00+00:00,1970-01-01T00:00:00+00:00,59058,KENILWORTH AVENUE NE & EASTERN AVENUE NE,38.912104,-76.933943,405729.08,138250.97,Ward 7,{907C8432-022C-496A-9ABC-04C63D872929},1631 KENILWORTH AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12031982,EASTERN AVE NE,7.48,Northeast,,1970-01-01T00:00:00+00:00,38.912123,-76.933831,405729.08,138250.97,4ead5e80f26ed1dde79fe717dbfc7ab5,1270459e5be59dee30305d44c4f78fce,0,0,0,0,POINT Z (-76.9338937283147 38.91216553678218 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72218,167406291,25178552,14171998,2014-11-06T05:00:00+00:00,Route not found,0.0,0.0,4175.0,4765.0,2014-11-06T05:00:00+00:00,1970-01-01T00:00:00+00:00,223060,CONNECTICUT AVE NW and  PORTER ST NW,38.936825,-77.059243,394863.72,140994.79,Ward 3,{E377202B-5878-406A-BE8E-30C9ECD45B7E},CONNECTICUT AVENUE APARTMENTS,87.76000214,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72228,167406301,26620356,12034532,2012-03-12T05:00:00+00:00,13081512,7163.46,0.03,617.0,1166.0,2012-03-12T04:00:00+00:00,1970-01-01T00:00:00+00:00,24085,4294 SOUTHERN AVE SE,38.869797,-76.938994,405294.16,133554.28,Ward 7,{9B2672A0-11B3-4A26-BD6E-EEAF84FD0DDF},4294 SOUTHERN AVENUE SE,100.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13010102,ALTON ST SE,0.0,East,,1970-01-01T00:00:00+00:00,,,,,b5dc6a1f7f9b6c6115b4ef0addb0dbbb,b5dc6a1f7f9b6c6115b4ef0addb0dbbb,0,0,2,0,POINT Z (-76.93899599085901 38.86980456561066 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72283,167406356,27669013,18073198,2018-05-08T03:32:14+00:00,13081512,4074.7,15.2,10631.0,7559.0,2018-05-07T04:00:00+00:00,1970-01-01T00:00:00+00:00,146766,3416 25TH STREET SE,38.84694,-76.968322,402749.947,131015.691,Ward 8,{775C5585-1C4B-4197-B9A1-B89B30CB1C9F},3416 25TH STREET SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58016772,Driveway-58016772,38.91,Southwest,,1970-01-01T00:00:00+00:00,38.847012,-76.968477,402724.01,131041.72,9a7e66f54f092d097a649d1b4f844d79,c41174c05f440d1dbdebf883b999ce6c,0,0,0,0,POINT Z (-76.96835571859221 38.8469227488711 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72289,167406362,27669021,18073272,2018-05-08T03:40:15+00:00,12031982,2699.32,4.22,10136.0,5814.0,2018-05-07T04:00:00+00:00,1970-01-01T00:00:00+00:00,309940,1501 EASTERN AVENUE NE,38.910534,-76.93194,405902.875,138076.87,Ward 7,{973AD766-C82E-4ABF-92E2-BDD8D23F14CE},1501 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12009132,ADDISON RD NE,52.24,Northwest,,1970-01-01T00:00:00+00:00,38.910423,-76.931867,405905.75,138079.75,8120adb3a8aa0284b82551033b70e576,8120adb3a8aa0284b82551033b70e576,0,0,0,0,POINT Z (-76.9318348855235 38.91045765995774 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72295,167406368,27297870,17073435,2017-05-03T19:31:07+00:00,0,0.0,0.38,5605.0,6145.0,2017-05-03T04:00:00+00:00,1970-01-01T00:00:00+00:00,23662,"WHEELER RD SE & SOUTHERN AVE SE
",38.832081,-76.987244,401107.596,129365.845,Ward 8,{E5FE75F0-407A-49B8-88FA-A699EABB17AE},4314 WHEELER ROAD SE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,38.832084,-76.987242,401100.43,129368.96,1fa714439c77535c6bf918c8994dc333,1fa714439c77535c6bf918c8994dc333,0,0,0,0,POINT Z (-76.98724599042866 38.83208860807067 0),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72301,167406374,25200738,14195703,2014-12-20T05:00:00+00:00,13081512,5535.3,22.96,-9.0,28602.0,2014-12-20T05:00:00+00:00,1970-01-01T00:00:00+00:00,31943,3700 SOUTHERN AVENUE SE,38.859657,-76.952375,404126.198,132421.177,Ward 7,{84D1D287-7943-43B9-A299-889F684C7D9B},3700 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47060602,Alley-47060602,10.93,Northeast,,1970-01-01T00:00:00+00:00,38.859657,-76.952375,,,b186c5400bc87bbe9cbcecd3f181dab5,57d7bd5db128b3b2cb51153fffe35060,0,0,0,0,POINT Z (-76.95219122888979 38.85951769615066 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72312,167406385,27822224,18170466,2018-10-08T18:35:18+00:00,13081512,4821.64,4.4,8610.0,9156.0,2018-10-08T04:00:00+00:00,1970-01-01T00:00:00+00:00,33089,3600 SOUTHERN AVENUE SE,38.857765,-76.954432,403955.043,132217.879,Ward 7,{B2ADD20D-382A-4A8C-824D-76F313846636},3600 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13017352,BRANCH AVE SE,39.95,Northeast,,1970-01-01T00:00:00+00:00,38.855189,-76.957818,403940.63,132232.27,41b6f676cb3736ffc250fd9a72efead5,41b6f676cb3736ffc250fd9a72efead5,0,0,0,0,POINT Z (-76.95778414392919 38.8551689618912 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72313,167406386,25200788,14196127,2014-12-21T05:00:00+00:00,13081512,9417.81,0.03,12533.0,12793.0,2014-12-21T05:00:00+00:00,1970-01-01T00:00:00+00:00,903973,CENTRAL AVE SE and  SOUTHERN AVE SE,38.88571,-76.918566,407065.32,135322.12,Ward 7,{86470BF4-94BE-420E-B540-59B77B532237},CENTRAL AVENUE SE AND SOUTHERN AVENUE SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13021582,CENTRAL AVE SE,0.02,Northeast,,1970-01-01T00:00:00+00:00,,,,,3bc54f7adbd76f2c4c5ef713e8f1011f,3bc54f7adbd76f2c4c5ef713e8f1011f,0,0,1,0,POINT Z (-76.91856805008648 38.8857176236821 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72383,167406456,27298160,17073778,2017-05-04T03:35:13+00:00,13081512,2945.62,14.64,7633.0,19600.0,2017-05-03T04:00:00+00:00,1970-01-01T00:00:00+00:00,56169,1310 SOUTHERN AVENUE SE,38.838739,-76.97884,401837.116,130105.092,Ward 8,{4908B38B-F381-4FD1-8E47-67D5F578C047},1800 VALLEY TERRACE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13088732*1,Not Available,195.26,Southwest,,1970-01-01T00:00:00+00:00,38.838646,-76.97872,401383.19,129834.03,4ac94194751907218d3f370dea3eb944,dc524d12eeb8a8a7d8e831c1c53375ee,0,0,0,0,POINT Z (-76.97884161027734 38.83874697160067 0),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72470,167406543,24713362,13121807,2013-08-30T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2013-08-26T04:00:00+00:00,1970-01-01T00:00:00+00:00,75896,1000 SOUTHERN AVE SE,38.832464,-76.986871,401139.902,129408.385,Ward 8,{1834FB46-2014-445F-90C8-ECBC8E83DF93},1008 SOUTHERN AVENUE SE,88.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,1,1,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72474,167406547,25177796,14171152,2014-11-04T05:00:00+00:00,Route not found,0.0,0.0,,,2014-11-04T05:00:00+00:00,1970-01-01T00:00:00+00:00,293222,2400 EAST CAPITOL ST SE,38.889791,-76.971895,402438.25,135772.32,Ward 7,{53BFB5BA-B16E-4322-9499-FA0AFC097218},2400 EAST CAPITOL STREET SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72491,167406564,27728060,18110183,2018-07-06T02:07:53+00:00,12031982,7196.4,9.63,-9.0,30514.0,2018-07-05T04:00:00+00:00,1970-01-01T00:00:00+00:00,288537,5178 EASTERN AVENUE NE,38.954121,-76.988814,400969.594,142913.202,Ward 5,{22B908BA-419C-4F16-B411-C71E280C9800},5178 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12078192,SARGENT RD NE,29.42,Southeast,,1970-01-01T00:00:00+00:00,38.954015,-76.987672,400993.99,142937.52,3633c2918a13e7f5ae011edc611ed458,dff7b63889c1484bef605540448d937c,0,0,0,0,POINT Z (-76.98759619742476 38.95408452934577 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72524,167406597,24713468,13121742,2013-08-26T05:00:00+00:00,Route not found,0.0,0.0,11371.0,1762.0,2013-08-26T04:00:00+00:00,1970-01-01T00:00:00+00:00,302332,700 6TH ST NW,38.898934,-77.019906,398273.265,136787.16,Ward 2,{C895F613-178A-491A-8F23-7991391AE20A},700 6TH STREET NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72545,167406618,27904775,18220560,2018-12-29T17:10:17+00:00,Route not found,0.0,0.0,5794.0,6319.0,2018-12-29T05:00:00+00:00,1970-01-01T00:00:00+00:00,310474,M STREET NW,38.905254,-77.055772,395162.46,137489.964,Ward 2,{D80FC7EE-55ED-4C66-88B3-A918000FDC91},,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,38.795524,-77.011564,395162.46,137489.44,Unknown,Unknown,0,0,0,0,POINT Z (-77.01156627876711 38.79553176922361 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72558,167406631,25106782,14128760,2014-08-25T05:00:00+00:00,Route not found,0.0,0.0,13185.0,13264.0,2014-08-25T04:00:00+00:00,1970-01-01T00:00:00+00:00,242480,1101 NEW HAMPSHIRE AVE NW,38.904178,-77.048575,395786.63,137370.15,Ward 2,{037C6E76-7E51-4E3F-8EB7-D7F59F802D1D},1101 NEW HAMPSHIRE AVENUE NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72610,167406683,24971927,13147043,2013-10-12T05:00:00+00:00,13081512,4074.7,21.98,-9.0,33181.0,2013-10-12T04:00:00+00:00,1970-01-01T00:00:00+00:00,278175,2528 SOUTHERN AVE SE,38.847304,-76.968214,402759.25,131056.145,Ward 8,{33B6EB20-8900-413A-8838-12931E30C4E8},2528 SOUTHERN AVENUE SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,58016772,Driveway-58016772,0.21,Northeast,,1970-01-01T00:00:00+00:00,,,,,9a7e66f54f092d097a649d1b4f844d79,45a13f265cd412a6387dfeda8e00ce91,0,0,0,0,POINT Z (-76.9680370433677 38.84717185359123 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72816,167406889,26620566,12036668,2012-03-16T05:00:00+00:00,12031982,8477.9,18.81,12577.0,12840.0,2012-03-16T04:00:00+00:00,1970-01-01T00:00:00+00:00,5907,5920 EASTERN AVE NE,38.962172,-76.998254,400151.281,143788.646,Ward 4,{1FA7F706-D775-4E93-A6D3-1D24E34FE869},5920 EASTERN AVENUE NE,200.0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,47033292,Alley-47033292,22.2,Southeast,,1970-01-01T00:00:00+00:00,38.962172,-76.998254,,,a6cae033387ac3d54d13cc37308be33e,1c16de3f053a9674f3b5a453b6aa5b19,0,0,0,0,POINT Z (-76.99810244162435 38.96229928315186 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72857,167406930,27995881,19053556,2019-03-30T21:23:18+00:00,12031982,2466.53,16.07,12026.0,9753.0,2019-03-30T04:00:00+00:00,1970-01-01T00:00:00+00:00,63937,1424 EASTERN AVENUE NE,38.909299,-76.930363,406039.805,137939.859,Ward 7,{91012C26-083C-42BF-A056-D32FB7B7C4E6},1424 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12014282,BEAVER HTS LN NE,11.28,Northwest,,1970-01-01T00:00:00+00:00,38.908601,-76.929735,406022.92,137922.91,59470dca8c5785e421da848549f774cb,59470dca8c5785e421da848549f774cb,0,0,0,0,POINT Z (-76.92960647489775 38.90871130469684 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72858,167406931,24975736,13151599,2013-10-21T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2013-10-21T04:00:00+00:00,1970-01-01T00:00:00+00:00,243952,4600 NEW HAMPSHIRE AVE NW,38.946405,-77.017027,398523.997,142056.719,Ward 4,{F204EAF5-0585-4EA0-B6C4-0CF31E9814A5},4600 NEW HAMPSHIRE AVENUE NW,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,1,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72865,167406938,27072911,16161225,2016-09-23T00:43:04+00:00,11092692,2750.48,10.92,1487.0,16208.0,2016-09-22T04:00:00+00:00,1970-01-01T00:00:00+00:00,264758,6647 WESTERN AVENUE NW,38.977782,-77.063748,394476.268,145541.71,Ward 4,{B599960C-08E2-4FF8-A8E8-DAD800FD8E56},5643 WESTERN AVENUE NW,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11067142,OLIVER ST NW,115.34,Southwest,,1970-01-01T00:00:00+00:00,38.965895,-77.079014,394471.43,145512.68,3e2731eda498d73385b685023c1792e6,3e2731eda498d73385b685023c1792e6,0,0,1,0,POINT Z (-77.07910541740114 38.96597236360525 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72885,167406958,24975804,13151214,2013-10-20T05:00:00+00:00,Route not found,0.0,0.0,2480.0,11649.0,2013-10-20T04:00:00+00:00,1970-01-01T00:00:00+00:00,907036,5TH ST NW and  KENNEDY ST NW,38.956449,-77.019887,398276.26,143171.81,Ward 4,{5F2ECD38-276E-4036-AB95-3E8101C51AAD},KENNEDY STREET NW AND 5TH STREET NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72927,167407000,26631670,12070659,2012-05-23T05:00:00+00:00,0,0.0,0.01,6953.0,9666.0,2012-05-23T04:00:00+00:00,1970-01-01T00:00:00+00:00,901922,VARNUM ST NE and  EASTERN AVE NE,38.943229,-76.973713,402278.85,141704.4,Ward 5,{305CEFAD-DC19-47DF-B1D8-27635FF30E3F},VARNUM STREET NE AND EASTERN AVENUE NE,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,,,,,4099472e7579b1048dc0117357d2705e,7497ef88632dee1525a794a5dc22296d,0,0,0,0,POINT Z (-76.97371522154316 38.94323676054354 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72992,167407065,27990551,19049792,2019-03-25T06:19:12+00:00,13081512,4074.7,23.3,10631.0,7559.0,2019-03-24T04:00:00+00:00,1970-01-01T00:00:00+00:00,299635,2524 SOUTHERN AVENUE SE,38.846716,-76.968609,402725.005,130990.837,Ward 8,{7D89C0BB-7F38-4AF4-871B-ADC5115D45B3},2524 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58016772,Driveway-58016772,70.17,Southwest,,1970-01-01T00:00:00+00:00,38.846865,-76.968798,402708.57,131007.33,9a7e66f54f092d097a649d1b4f844d79,c41174c05f440d1dbdebf883b999ce6c,0,0,0,0,POINT Z (-76.96861087348296 38.84672404646493 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73002,167407075,25106987,14128737,2014-08-25T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2014-08-25T04:00:00+00:00,1970-01-01T00:00:00+00:00,71335,1217 BUCHANAN ST NE,38.946074,-76.989355,400922.77,142019.964,Ward 5,{D7BBB4CB-2E92-4E44-A9BE-948D29B1D195},1217 BUCHANAN STREET NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
